Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.03438666080911E-05,0.000164444408216863,0.0415501043891079,0,0,0,0.310178508912656,0.00040397991189065,-7.67071063755645E-08,-4.8034277809683E-08,0.000296362927485086,2.37380471524215E-07,0.000212128802807125,0,0,0,0,0,0,package://ctag2f90c/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ctag2f90c/meshes/base_link.STL,,CTPM3F20.01.15_连接法兰-1;CTAG2F90-C-04 机体外壳-1/CTAG2F90-C-04-01 机体外壳-前-1;CTAG2F90-C-04 机体外壳-1/CTAG2F90-C-04-02 机体外壳-后-1;内六角圆柱头螺钉[M3×30]-2;内六角圆柱头螺钉[M3×30]-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_1_Link,-9.28680668570248E-19,0.030539291459314,-0.00258607700367608,0,0,0,0.0143082868091883,3.13950698375337E-06,-1.52080132643556E-23,6.91547980628378E-24,1.68765500467537E-07,2.43038947287639E-07,3.01776984338656E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_1_Link.STL,0.956862745098039,0.729411764705882,0.725490196078431,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_1_Link.STL,,钢套[4×6×8]-2;调整垫片[4×6×0.5]-209;CTAG2F90-09 摆动连杆-2;调整垫片[4×6×0.5]-211;调整垫片[4×10×0.5]-195;CTAG2F90-09 摆动连杆-1;调整垫片[4×10×0.5]-144;开口挡圈[M3]-34;铜套[4×8×4]-94;调整垫片[4×10×0.5]-151;调整垫片[4×10×0.5]-197;铜套[4×8×4]-93;开口挡圈[M3]-30,坐标系11,基准轴11,Left_1_Joint,revolute,0,-0.030141,0.090147,1.5708,0,0,base_link,-1,0,0,2,1000,0,1,,,,,,,,
Left_Support_Link,1.07295456192646E-10,0.0151471213709181,-0.00881425056266623,0,0,0,0.0119105654270604,2.29855296669515E-06,3.52760274833619E-14,-4.83144274478498E-15,5.66006626841495E-07,6.96553660909406E-07,2.02879732303575E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_Support_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_Support_Link.STL,,CTAG2F90-06 指端连杆-1;CTAG2F90-13 圆柱销23-9,坐标系12,基准轴12,Left_Support_Joint,revolute,0,0.054804,-0.0046413,0,0,0,Left_1_Link,-1,0,0,0,0,0,0,,,,,,,,
Left_Pad_Link,-6.16776893223986E-16,0.00343564941025751,0.00291131442785867,0,0,0,0.028983148227117,8.29474554098334E-06,-1.89994985124349E-21,-8.69955081865361E-20,1.40034188740669E-06,-3.29382180279853E-08,9.56613605828327E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_Pad_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_Pad_Link.STL,,CTAG2F90-15 指端-1,坐标系14,基准轴14,Left_Pad_Joint,fixed,0,0.0515,-0.02425,0,0,0,Left_Support_Link,0,0,0,,,,,,,,,,,,
Left_2_Link,-9.64455187140789E-18,0.0335366982007761,-0.00283988029070185,0,0,0,0.0171972364497243,3.15392174079445E-06,-7.65628822295208E-24,6.80209220247533E-22,2.70902150111044E-07,2.43381350518246E-07,3.123872461982E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_2_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Left_2_Link.STL,,CTAG2F90-05 随动连杆-2;CTAG2F90-13 圆柱销23-10;CTAG2F90-05 随动连杆-1;开口挡圈[M3]-32;铜套[4×8×4]-81;调整垫片[4×10×0.5]-161;调整垫片[4×10×0.5]-198;铜套[4×8×4]-82;开口挡圈[M3]-35;钢套[4×6×8]-1;调整垫片[4×10×0.5]-210;调整垫片[4×10×0.5]-212,坐标系22,基准轴22,Left_2_Joint,revolute,0,-0.016,0.107,1.5708,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Right_2_Link,1.23073470736957E-17,0.033536698200776,-0.00283988029070186,0,0,0,0.0171972364497243,3.15392174079445E-06,3.99539849237237E-23,-6.94115744711518E-22,2.70902150111044E-07,2.43381350518245E-07,3.123872461982E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_2_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_2_Link.STL,,CTAG2F90-05 随动连杆-4;开口挡圈[M3]-42;CTAG2F90-13 圆柱销23-14;铜套[4×8×4]-83;调整垫片[4×10×0.5]-216;钢套[4×6×8]-4;调整垫片[4×10×0.5]-215;CTAG2F90-05 随动连杆-3;调整垫片[4×10×0.5]-199;开口挡圈[M3]-37;铜套[4×8×4]-84;调整垫片[4×10×0.5]-203,坐标系33,基准轴33,Right_2_Joint,revolute,0,0.016,0.107,1.5708,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
Right_1_Link,-2.12745571485216E-18,0.0305392914593139,-0.00258607700367608,0,0,0,0.0143082868091883,3.13950698375336E-06,4.14549273924351E-23,2.42807909542875E-24,1.68765500467537E-07,2.43038947287639E-07,3.01776984338656E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_1_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_1_Link.STL,,CTAG2F90-09 摆动连杆-3;铜套[4×8×4]-95;开口挡圈[M3]-40;调整垫片[4×10×0.5]-205;调整垫片[4×6×0.5]-213;钢套[4×6×8]-5;调整垫片[4×6×0.5]-214;CTAG2F90-09 摆动连杆-4;调整垫片[4×10×0.5]-202;开口挡圈[M3]-38;铜套[4×8×4]-96;调整垫片[4×10×0.5]-204;调整垫片[4×10×0.5]-200,坐标系41,基准轴41,Right_1_Joint,revolute,0,0.030141,0.090147,1.5708,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
Right_Support_Link,1.07297655713615E-10,0.0151471213709181,-0.00881425056266621,0,0,0,0.0119105654270604,2.29855296669515E-06,3.52761223264558E-14,-4.83149321191609E-15,5.66006626841495E-07,6.96553660909407E-07,2.02879732303575E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_Support_Link.STL,0.956862745098039,0.729411764705882,0.725490196078431,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_Support_Link.STL,,CTAG2F90-13 圆柱销23-13;CTAG2F90-06 指端连杆-2,坐标系42,基准轴42,Right_Support_Joint,revolute,0,0.054804,-0.0046413,0,0,0,Right_1_Link,-1,0,0,0,0,0,0,,,,,,,,
Right_Pad_Link,-1.50137447913012E-19,0.00343564941025742,0.00291131442785872,0,0,0,0.028983148227117,8.29474554098334E-06,-8.85123816078709E-22,6.94922146887372E-24,1.40034188740669E-06,-3.29382180281129E-08,9.56613605828327E-06,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_Pad_Link.STL,0.976470588235294,0.866666666666667,0.784313725490196,1,0,0,0,0,0,0,package://ctag2f90c/meshes/Right_Pad_Link.STL,,CTAG2F90-15 指端-2,坐标系44,基准轴44,Right_Pad_Joint,fixed,0,0.0515,-0.02425,0,0,0,Right_Support_Link,0,0,0,,,,,,,,,,,,
