Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.3759E-05,2.6591E-18,0.1049,0,0,0,0.10202,2.4261E-05,1.1367E-22,-4.2352E-22,3.5094E-05,4.639E-22,5.0389E-05,0,0,0,0,0,0,package://hand_demo2/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://hand_demo2/meshes/base_link.STL,,CTSBG14.00_工业平动手本体-1,坐标系3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link,-3.8186E-17,-0.0084622,0.025504,0,0,0,0.10202,3.5094E-05,-4.639E-22,1.1367E-22,5.0389E-05,4.2352E-22,2.4261E-05,0,0,0,0,0,0,package://hand_demo2/meshes/left_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://hand_demo2/meshes/left_Link.STL,,CTSBG14.02.02_滑块组件-1,坐标系1,基准轴1,left_joint,prismatic,0.02547,0,0.11336,1.5708,0,-1.5708,base_link,0,0,-1,1,0.05,0,-0.007,,,,,,,,
right_Link,3.696E-17,0.0084622,0.025504,0,0,0,0.10202,3.5094E-05,4.639E-22,-1.1367E-22,5.0389E-05,4.2352E-22,2.4261E-05,0,0,0,0,0,0,package://hand_demo2/meshes/right_Link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://hand_demo2/meshes/right_Link.STL,,CTSBG14.02.02_滑块组件-2,坐标系2,基准轴2,right_joint,prismatic,-0.025538,0,0.11336,-1.5708,0,-1.5708,base_link,0,0,-1,1,0.05,0,-0.007,,,,,,,,
