Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.03324601228791E-05,-2.66569501240673E-07,0.0417662191100656,0,0,0,0.275664288593793,0.000150041307571473,8.13886582418885E-09,-2.52728542958532E-08,0.000194639020608314,1.05929831271394E-07,0.000249169964196588,0,0,0,0,0,0,package://ctpm2f50/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ctpm2f50/meshes/base_link.STL,,平行指机械手空壳底座-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link,-0.0442182811715535,-0.00997741507243811,0.0893909071360119,0,0,0,0.0155471794595777,1.32910040547374E-06,1.85887144792904E-08,-7.6446792969849E-08,3.33193271421251E-06,6.98708188606315E-09,2.77608871266481E-06,0,0,0,0,0,0,package://ctpm2f50/meshes/left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ctpm2f50/meshes/left_Link.STL,,齿条指端组件-3,Origin_left_gripper,Axis_right_gripper,left_gripper,prismatic,0.017015,0.014787,0.015051,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
right_Link,-0.0427032028027905,-0.00997741507243817,0.0893909071360119,0,0,0,0.0155471794595777,1.32910040547374E-06,1.85887144792903E-08,-7.64467929698491E-08,3.33193271421251E-06,6.98708188606305E-09,2.77608871266481E-06,0,0,0,0,0,0,package://ctpm2f50/meshes/right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ctpm2f50/meshes/right_Link.STL,,齿条指端组件-2,Origin_right_gripper2,Axis_right_gripper,right_gripper,prismatic,-0.0155,-0.014687,0.015051,0,0,3.1416,base_link,1,0,0,0,0,0,0.0245,,,,,,,,
